SKU,Name,Url,ImageUrl,OtherImageURL1,OtherImageURL2,OtherImageURL3,UPC,Brand,Description,ProductDescriptionHTML,ItemType,Category,Quantity,Price,SalePrice,PackageQuantity,Weight,ItemWeight,ItemLength,ItemWidth,ItemHeight,KeyProductFeatures1,KeyProductFeatures2,KeyProductFeatures3,KeyProductFeatures4,KeyProductFeatures5,PackageWeight,Parentage,ParentSku,VariationTheme,Color,Department,Material,Size,Style
P160-BLK-SM,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Black&technique=T-SHIRT&size=S&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-4.png,123456789012,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,5,34.99,17.75,1,0.5,0.5,28,21,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Black,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",Small,pullover
P160-BLK-M,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Black&technique=T-SHIRT&size=M&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-4.png,123456789013,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,6,34.99,17.75,1,0.5,0.5,29,23,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Black,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",Medium,pullover
P160-BLK-L,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Black&technique=T-SHIRT&size=L&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-4.png,123456789014,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,0,34.99,17.75,1,0.5,0.5,28,21,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Black,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",Large,pullover
P160-BLK-XL,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Black&technique=T-SHIRT&size=XL&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/black-sweatshirt-4.png,123456789015,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,3,34.99,17.75,1,0.5,0.5,29,23,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Black,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",X-Large,pullover
P160-RED-SM,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Deep%20Red&technique=T-SHIRT&size=S&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-4.png,123456789012,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,5,34.99,17.75,1,0.5,0.5,28,21,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Red,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",Small,pullover
P160-RED-M,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Deep%20Red&technique=T-SHIRT&size=M&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-4.png,123456789013,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,6,34.99,17.75,1,0.5,0.5,29,23,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Red,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",Medium,pullover
P160-RED-L,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Deep%20Red&technique=T-SHIRT&size=L&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-4.png,123456789014,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,0,34.99,17.75,1,0.5,0.5,28,21,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Red,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",Large,pullover
P160-RED-XL,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Deep%20Red&technique=T-SHIRT&size=XL&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/red-sweatshirt-4.png,123456789015,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,3,34.99,17.75,1,0.5,0.5,29,23,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Red,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",X-Large,pullover
P160-BLU-SM,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Light%20Blue&technique=T-SHIRT&size=S&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/blue-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/blue-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/blue-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/blue-sweatshirt-4.png,123456789012,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,5,34.99,17.75,1,0.5,0.5,28,21,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Blue,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",Small,pullover
P160-BLU-M,Unisex Fleece Sweatshirt | Hanes P160,https://www.printful.com/custom/mens/sweatshirts/unisex-fleece-sweatshirt-hanes-p160?color=Light%20Blue&technique=T-SHIRT&size=M&region%5B%5D=USA,https://static.godatafeed.com/content/example-files/sample-product-images/blue-sweatshirt.png,https://static.godatafeed.com/content/example-files/sample-product-images/blue-sweatshirt-2.png,https://static.godatafeed.com/content/example-files/sample-product-images/blue-sweatshirt-3.png,https://static.godatafeed.com/content/example-files/sample-product-images/blue-sweatshirt-4.png,123456789013,Printful,"The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.","<span class=""pf-d-block wysiwyg""><p><span>The Unisex Fleece Sweatshirt takes care of both comfort and look. This item will fit perfectly in all clothing collections, be it streetwear, loungewear, or athleisure style. Even more, with up to 5% recycled polyester in components, it's a small step closer to a more earth-friendly way of life.</span> <ul><li><span>50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)</span> <li><span>Fabric weight: 7.8 oz/y² (264.5 g/m²)</span> <li><span>Patented low-pill, high-stitch density PrintPro® XP fleece</span> <li><span>Double-needle stitched neckline and armholes</span> <li><span>Ribbed cuffs and waistband</span> <li><span>Tag-free neck label</span> <li><span>Blank product sourced from El Salvador, Guatemala, Honduras, or Nicaragua</span></ul> <p>&nbsp; <p><span>This product is made on demand. No minimums.</span></span>",sweat shirt,Men's > Hoodies & sweatshirts > Sweatshirts,6,34.99,17.75,1,0.5,0.5,29,23,0.5,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)","Patented low-pill, high-stitch density PrintPro® XP fleece",Double-needle stitched neckline and armholes,Ribbed cuffs and waistband,Tag-free neck label,0.5,Child,P160,SizeColor,Blue,Mens,"50% cotton, 50% polyester (up to 5% recycled polyester, made from plastic bottles)",Medium,pullover
